Component,Description,Type
HIWPshortDescrip,"High involvement work programs (HIWPs) are a set of interconnected human resource management strategies and organizational programs designed to enhance employee engagement, autonomy, and decision-making capabilities. These programs aim to align employee skills, knowledge, and motivation with organizational goals, thereby improving both individual and organizational performance. Synonyms: High-performance work practices (HPWPs); High-commitment work practices; High-engagement work practices; High-involvement management practices; Innovative work practices; Employee involvement practices; Participative management practices; High-performance human resource practices ;Advanced human resource management systems; Commitment-based HR systems; Performance-enhancing HR practices; High Involvement work practices; HIWP;High commitment work practices; HCWP; High performance work systems; HPWS; Strategic human resource management practices ",cat1
Empowerment,"Employee participation Autonomy and Empowerment Employees are involved in problem-solving and continuous improvement initiatives. Their input into decisions like work processes, product development, and strategy is valued.Providing employees with more autonomy in their roles, allowing them to make decisions and have greater control over their work.Self-managed teams - Teams are given autonomy over decisions like task assignment, schedules, and process improvements. Teams manage their own workload and policies.Flexible job assignments - Employees are developed as generalists and can move between roles. Job rotations and cross-training allow employees to gain experience in multiple functions.Involving employees in decision-making at all levels to increase engagement and job satisfaction",cat1
WorkLifeBalance,"Work-Life Balance Implementing policies and programs that help employees balance their work and personal responsibilities, such as flexible work hours, telecommuting, parental leave, and employee assistance programs",cat1
RemoteWork,"Remote work refers to a flexible work arrangement where employees perform their job duties from a location outside the traditional office environment, typically utilizing information and communication technologies to maintain connectivity with their organization and colleagues.: Telework, Telecommuting, Virtual work, Distributed work, Mobile work, E-work, Distance work, Flexible work, Work from home (WFH), Offsite work, Geographically dispersed work, Networked work, Location-independent work, Remote employment, Satellite work",cat2
GrenHRM,"Green Human Resource Management (GHRM) refers to the integration of environmental management practices into human resource policies and processes, aiming to promote sustainable use of resources and support eco-friendly initiatives within an organization, thereby enhancing environmental performance and employee commitment to sustainability goals.  : Environmental Human Resource Management, Eco-HRM, Sustainable Human Resource Management, Green HRM, Environmentally-friendly HRM, Ecological HRM, Eco-friendly Human Resource Management, Environmental HRM, Sustainability-oriented HRM, Green Workforce Management, Eco-conscious HR practices, Environmentally Sustainable HRM, Green HR, Eco-centric Human Resource Management",cat2
OpMange,"Operations management (OM), also known as production and operations management (POM), supply chain management (SCM), process management, manufacturing management, service operations management, operational excellence, business process management (BPM), lean operations, total quality management (TQM), industrial engineering, systems engineering, logistics management, production systems management, operations strategy, value chain management, performance management systems, operational research/operations research (OR), production planning and control, or enterprise resource planning (ERP), is a multidisciplinary field that focuses on the design, execution, and control of business processes for the efficient production of goods and delivery of services. It encompasses the planning, organizing, and supervising of manufacturing, production, or the provision of services, with the aim of creating the highest level of efficiency possible within an organization while balancing costs, sustainability, and quality.",cat2
10.4995/wpom.19631,"A noise audit of the peer review of a scientific article: a WPOM journal case study. This study aims to be one of the first to analyse the noise level in the peer review process of scientific articles. Noise is defined as the undesired variability in the judgements made by professionals on the same topic or subject. We refer to evaluative judgements in which experts are expected to agree. This is what happens when we try to judge the quality of a scientific work. To measure noise, the only information needed is to have several judgements made by different people on the same case to analyse their dispersion (what Kahneman et al. call a noise audit). This was the procedure followed in this research. We asked a set of reviewers from the journal WPOM (Working Papers on Operations Management) to review the same manuscript which had been previously accepted for publication in this journal, although the reviewers were unaware of that fact. The results indicated that if two reviewers were used, the probability of this manuscript not being published would be close to 8%, while the probability of it having an uncertain future would be 40% (one favorable opinion and one unfavorable opinion or both suggesting substantial changes). In the case of employing only one reviewer, in 25% of the cases, the audited work would have encountered significant challenges for publication. The great advantage of measuring noise is, once measured, it is usually possible to reduce it. This article concludes by outlining some of the measures which can be put in place by scientific journals to improve their peer review processes.",art
10.4995/wpom.20088,"Lean Management a Co-occurrence Analysis. The objective of this work is to identify and visualize the intellectual structure of the Lean Manufacturing research field. To achieve this, a bibliometric analysis will be carried out that combines a performance and co -occurrence analysis, to identify and analyze the relationships between the topics that have had the greatest impact on the construction of the knowledge base of this discipline. To achieve this objective, a bibliometric analysis was carried out that began with a search on the Web of Science (WOS) platform with the Lean Manufacturing theme. From this database, the references were exported and subsequently processed using the Bibliometrix software, which allows for both an analysis of indexes and the number of articles, which showed us that it was not until 2012 that a progressive publication of works on the subject begins, of productivity by country, with the USA appearing as the country with the greatest number of publications and the greatest number of citations on the topic analyzed, and of authors and journals with the greatest publications, as well as a co -occurrence analysis, which shows us the keywords most used by the authors and the thematic areas where they are most published, the results of which yielded five clusters or groups of keywords led by the terms Lean Management, Lean, Industry 4.0, Value Stream Map and Six Sigma.",art
10.4995/wpom.17938,"SQAS, social responsibility assessment or instrumentalisation?. Safety and Quality Assessment for Sustainability (SQAS) is evaluation promoted by an as-sociation of chemical companies called CEFIC. Its vocation is to serve as a tool for the as-sessment of safety, quality, security, health, environmental and corporate social responsi-bility (CSR) of the logistic suppliers, but the activity of the companies that promote it can generate doubts about its instrumentalization. On the other hand, ISO 26000 offers an agreed guidance framework on social responsibility (SR). Through a comparative analysis, using the core subjects of ISO 26000 as a basis, the suitability of the SQAS evaluation in its Transport Service modality, as SR measurement tool, is tested. The analysis detects im-portant shortcomings in the SR core subjects assessed, especially those referring to human rights, moral obligations with society or stakeholder commitment and its participation, but on the other hand, the assessment stands out for its exhaustiveness in specific transporta-tion safety issues. This work contributes to contextualize the SQAS assessment as a CSR tool and identify the aspects that should be incorporated for a more effective assess of CSR. It also shows the lack of rigor of the self-regulation tools of organizations.",art
10.4995/wpom.16096,"A Systematic Literature Review Protocol for the analysis of practices measurments instruments and contextual factors inherent to Supply Chain Agility. Supply Chain Agility (SCA) has recently received substantial attention in the literature and in practice. The previous literature encompasses a number of different tools and constructs that are used to measure SCA, indicating the need to refine and validate a supply chain -level measurement instrument of SCA. In addition, the role of the contextual factors inherent to the implementation of SCA and the need to achieve a certain fit between SCA and other supply chain and firm strategies and orientations has received little attention by the research community. This paper represents a SLR protocol to identify definitions,definitions, practices, and measurement items of SCA, as well as the contextual factors that affect supply chain's ability to implement and measure supply chain agility. Finally, this paper will try to contribute to the theory development and advancement on SCA by clarifying the need to accomplish a certain fit between SCA and other supply chain andfirm strategies and orientations.",art
